plant_id,genotype,source_row,r,r_light,r_dark,a,K_mm
phyAB:row26,phyAB,26,0.0711776,0.08404025,0.058314957,0.18071201,10.26287
phyAB:row27,phyAB,27,0.0711776,0.08404025,0.058314957,0.18071201,10.295752
phyAB:row28,phyAB,28,0.0711776,0.08404025,0.058314957,0.18071201,10.2491455
phyAB:row29,phyAB,29,0.0711776,0.08404025,0.058314957,0.18071201,10.279419
phyAB:row30,phyAB,30,0.0711776,0.08404025,0.058314957,0.18071201,10.280405
phyAB:row31,phyAB,31,0.0711776,0.08404025,0.058314957,0.18071201,10.245066
phyAB:row32,phyAB,32,0.0711776,0.08404025,0.058314957,0.18071201,10.244065
phyAB:row33,phyAB,33,0.0711776,0.08404025,0.058314957,0.18071201,10.26007
phyAB:row34,phyAB,34,0.0711776,0.08404025,0.058314957,0.18071201,10.073611
phyAB:row35,phyAB,35,0.0711776,0.08404025,0.058314957,0.18071201,10.106159
phyAB:row36,phyAB,36,0.0711776,0.08404025,0.058314957,0.18071201,10.131307
phyAB:row37,phyAB,37,0.0711776,0.08404025,0.058314957,0.18071201,10.157223
phyAB:row38,phyAB,38,0.0711776,0.08404025,0.058314957,0.18071201,10.089185
phyAB:row39,phyAB,39,0.0711776,0.08404025,0.058314957,0.18071201,10.046231
