observation_id,plant_id,genotype,source_row,source_cell,elapsed_hours,length_mm,split,plant_index
12L12D:AB16,hy5:row16,hy5,16,AB16,60,8.433,test,46
12L12D:AG16,hy5:row16,hy5,16,AG16,72,10.73,test,46
12L12D:C17,hy5:row17,hy5,17,C17,0,2.818,train,47
12L12D:H17,hy5:row17,hy5,17,H17,12,4.216,train,47
12L12D:M17,hy5:row17,hy5,17,M17,24,5.19,train,47
12L12D:R17,hy5:row17,hy5,17,R17,36,6.474,train,47
12L12D:W17,hy5:row17,hy5,17,W17,48,7.14,val,47
12L12D:AB17,hy5:row17,hy5,17,AB17,60,9.595,test,47
12L12D:AG17,hy5:row17,hy5,17,AG17,72,10.021,test,47
12L12D:C18,hy5:row18,hy5,18,C18,0,2.307,train,48
12L12D:H18,hy5:row18,hy5,18,H18,12,4.323,train,48
12L12D:M18,hy5:row18,hy5,18,M18,24,5.676,train,48
12L12D:R18,hy5:row18,hy5,18,R18,36,6.256,train,48
12L12D:AB18,hy5:row18,hy5,18,AB18,60,10.081,test,48
12L12D:AG18,hy5:row18,hy5,18,AG18,72,9.991,test,48
12L12D:C19,hy5:row19,hy5,19,C19,0,2.699,train,49
12L12D:H19,hy5:row19,hy5,19,H19,12,5.062,train,49
12L12D:M19,hy5:row19,hy5,19,M19,24,5.7,train,49
12L12D:R19,hy5:row19,hy5,19,R19,36,8.05,train,49
12L12D:W19,hy5:row19,hy5,19,W19,48,7.807,val,49
12L12D:AB19,hy5:row19,hy5,19,AB19,60,10.566,test,49
12L12D:AG19,hy5:row19,hy5,19,AG19,72,12.661,test,49
12L12D:C20,hy5:row20,hy5,20,C20,0,2.586,train,50
12L12D:H20,hy5:row20,hy5,20,H20,12,4.874,train,50
12L12D:M20,hy5:row20,hy5,20,M20,24,5.362,train,50
12L12D:R20,hy5:row20,hy5,20,R20,36,6.455,train,50
12L12D:W20,hy5:row20,hy5,20,W20,48,10.561,val,50
12L12D:AB20,hy5:row20,hy5,20,AB20,60,8.206,test,50
12L12D:AG20,hy5:row20,hy5,20,AG20,72,11.013,test,50
12L12D:C21,hy5:row21,hy5,21,C21,0,2.867,train,51
12L12D:H21,hy5:row21,hy5,21,H21,12,3.947,train,51
12L12D:M21,hy5:row21,hy5,21,M21,24,5.017,train,51
12L12D:R21,hy5:row21,hy5,21,R21,36,8.546,train,51
12L12D:W21,hy5:row21,hy5,21,W21,48,7.819,val,51
12L12D:AB21,hy5:row21,hy5,21,AB21,60,11.099,test,51
12L12D:AG21,hy5:row21,hy5,21,AG21,72,10.797,test,51
12L12D:C22,hy5:row22,hy5,22,C22,0,2.559,train,52
12L12D:H22,hy5:row22,hy5,22,H22,12,5.718,train,52
12L12D:M22,hy5:row22,hy5,22,M22,24,5.055,train,52
12L12D:R22,hy5:row22,hy5,22,R22,36,7.407,train,52
12L12D:W22,hy5:row22,hy5,22,W22,48,8.591,val,52
12L12D:AB22,hy5:row22,hy5,22,AB22,60,9.154,test,52
12L12D:AG22,hy5:row22,hy5,22,AG22,72,10.781,test,52
12L12D:C23,hy5:row23,hy5,23,C23,0,2.438,train,53
12L12D:H23,hy5:row23,hy5,23,H23,12,5.01,train,53
12L12D:M23,hy5:row23,hy5,23,M23,24,5.67,train,53
