plot_id,date,plant_position,height_cm,height_m,genotype,year,replicate,block,entry,stand,field_range,field_row
YC21:2417,2021-06-28,Height1,74,0.74,INBRED 305,2021,2,2,420,21,20,24
YC21:2405,2021-06-28,Height1,119,1.19,PHBB3,2021,2,2,364,20,20,36
YC21:2393,2021-06-28,Height1,101,1.01,B75,2021,2,2,306,20,20,48
YC21:1097,2021-07-08,Height1,153,1.53,LH209,2021,1,1,169,23,3,1
YC21:1108,2021-07-08,Height1,147,1.47,PHW20,2021,1,1,33,18,3,12
YC21:1120,2021-07-08,Height1,151,1.51,LH145,2021,1,1,116,16,3,24
YC21:1132,2021-07-08,Height1,148,1.48,LH127,2021,1,1,226,15,3,36
YC21:1144,2021-07-08,Height1,150,1.5,MS225,2021,1,1,78,23,3,48
YC21:2057,2021-07-08,Height1,127,1.27,N6,2021,2,1,235,22,13,1
YC21:2068,2021-07-08,Height1,159,1.59,BO9,2021,2,1,156,26,13,12
YC21:2080,2021-07-08,Height1,155,1.55,LH166,2021,2,1,52,25,13,24
YC21:2092,2021-07-08,Height1,163,1.63,793,2021,2,1,37,21,13,36
YC21:2104,2021-07-08,Height1,151,1.51,MS71,2021,2,1,172,23,13,48
YC21:2440,2021-07-08,Height1,152,1.52,CQ702RC,2021,2,2,312,20,20,1
YC21:2429,2021-07-08,Height1,139,1.39,LH60,2021,2,2,342,27,20,12
YC21:2417,2021-07-08,Height1,119,1.19,INBRED 305,2021,2,2,420,21,20,24
YC21:2405,2021-07-08,Height1,140,1.4,PHBB3,2021,2,2,364,20,20,36
YC21:2393,2021-07-08,Height1,162,1.62,B75,2021,2,2,306,20,20,48
YC21:1097,2021-07-13,Height1,172,1.72,LH209,2021,1,1,169,23,3,1
YC21:1108,2021-07-13,Height1,177,1.77,PHW20,2021,1,1,33,18,3,12
YC21:1120,2021-07-13,Height1,189,1.89,LH145,2021,1,1,116,16,3,24
YC21:1132,2021-07-13,Height1,171,1.71,LH127,2021,1,1,226,15,3,36
YC21:1144,2021-07-13,Height1,171,1.71,MS225,2021,1,1,78,23,3,48
YC21:2057,2021-07-13,Height1,142,1.42,N6,2021,2,1,235,22,13,1
YC21:2068,2021-07-13,Height1,167,1.67,BO9,2021,2,1,156,26,13,12
YC21:2080,2021-07-13,Height1,174,1.74,LH166,2021,2,1,52,25,13,24
YC21:2092,2021-07-13,Height1,184,1.84,793,2021,2,1,37,21,13,36
YC21:2104,2021-07-13,Height1,158,1.58,MS71,2021,2,1,172,23,13,48
YC21:2440,2021-07-13,Height1,171,1.71,CQ702RC,2021,2,2,312,20,20,1
YC21:2429,2021-07-13,Height1,158,1.58,LH60,2021,2,2,342,27,20,12
YC21:2417,2021-07-13,Height1,136,1.36,INBRED 305,2021,2,2,420,21,20,24
YC21:2405,2021-07-13,Height1,161,1.61,PHBB3,2021,2,2,364,20,20,36
YC21:2393,2021-07-13,Height1,178,1.78,B75,2021,2,2,306,20,20,48
YC21:1097,2021-07-23,Height1,216,2.16,LH209,2021,1,1,169,23,3,1
YC21:1108,2021-07-23,Height1,234,2.34,PHW20,2021,1,1,33,18,3,12
