genotype,replicate,source_row,flight_code,height_relative,date,year,dap,published_gdd_f,station_gdd_f,is_ground_flight,trajectory_id,height_raw,plot_id,block,entry,stand,field_range,field_row,has_loess_height,mapping_count,ambiguous_plot_mapping,unmapped_plot_metadata,observed,temperature_c,tmin_c,tmax_c,daily_gdd_c,thermal_integral_c,genotype_index,split
911,2,12,07312018,476.313631,2018-07-31,2018,78,1812,1812,False,YC18:2172,25.6862745,YC18:2172,1,12,>15,15,20,True,1,False,False,True,23.05555556,16.66666667,29.44444444,13.05555556,1002.916667,20,train
911,2,12,08092018,487.633266,2018-08-09,2018,87,2031.5,2031.5,False,YC18:2172,38.0823529,YC18:2172,1,12,>15,15,20,True,1,False,False,True,26.66666667,21.66666667,31.66666667,15.83333333,1123.472222,20,train
911,2,12,08172018,554.580689,2018-08-17,2018,95,2248.5,2248.5,False,YC18:2172,44.9615686,YC18:2172,1,12,>15,15,20,True,1,False,False,True,25,20,30,15,1244.444444,20,train
912,1,13,06132018,90.9927333,2018-06-13,2018,30,585,585,False,YC18:1009,26.052832,YC18:1009,1,38,25,1,9,True,1,False,False,True,20.83333333,14.44444444,27.22222222,10.83333333,322.3611111,21,train
912,1,13,06282018,440.183066,2018-06-28,2018,45,946,946,False,YC18:1009,8.23529412,YC18:1009,1,38,25,1,9,True,1,False,False,True,23.88888889,20,27.77777778,13.88888889,521.3888889,21,train
912,1,13,07092018,408.656327,2018-07-09,2018,56,1267,1267,False,YC18:1009,25.2156863,YC18:1009,1,38,25,1,9,True,1,False,False,True,28.88888889,24.44444444,33.33333333,17.22222222,698.0555556,21,train
912,1,13,07172018,421.999008,2018-07-17,2018,64,1495,1495,False,YC18:1009,16.3921569,YC18:1009,1,38,25,1,9,True,1,False,False,True,24.44444444,18.88888889,30,14.44444444,826.1111111,21,train
912,1,13,07242018,485.096787,2018-07-24,2018,71,1662.5,1662.5,False,YC18:1009,12.1729412,YC18:1009,1,38,25,1,9,True,1,False,False,True,23.33333333,17.22222222,29.44444444,13.33333333,919.7222222,21,train
912,1,13,07312018,416.17449,2018-07-31,2018,78,1812,1812,False,YC18:1009,22.4431373,YC18:1009,1,38,25,1,9,True,1,False,False,True,23.05555556,16.66666667,29.44444444,13.05555556,1002.916667,21,train
912,1,13,08092018,443.409333,2018-08-09,2018,87,2031.5,2031.5,False,YC18:1009,34.6286275,YC18:1009,1,38,25,1,9,True,1,False,False,True,26.66666667,21.66666667,31.66666667,15.83333333,1123.472222,21,train
912,1,13,08172018,510.374631,2018-08-17,2018,95,2248.5,2248.5,False,YC18:1009,41.3776471,YC18:1009,1,38,25,1,9,True,1,False,False,True,25,20,30,15,1244.444444,21,train
912,2,14,06052018,59.5415208,2018-06-05,2018,22,430,430,False,YC18:2167,2.15686275,YC18:2167,1,38,>15,15,15,True,1,False,False,True,22.77777778,15.55555556,30,12.77777778,235.2777778,21,train
912,2,14,06132018,110.775949,2018-06-13,2018,30,585,585,False,YC18:2167,31.7171173,YC18:2167,1,38,>15,15,15,True,1,False,False,True,20.83333333,14.44444444,27.22222222,10.83333333,322.3611111,21,train
912,2,14,06282018,358.434783,2018-06-28,2018,45,946,946,False,YC18:2167,6.70588235,YC18:2167,1,38,>15,15,15,True,1,False,False,True,23.88888889,20,27.77777778,13.88888889,521.3888889,21,train
912,2,14,07092018,427.722719,2018-07-09,2018,56,1267,1267,False,YC18:2167,26.3921569,YC18:2167,1,38,>15,15,15,True,1,False,False,True,28.88888889,24.44444444,33.33333333,17.22222222,698.0555556,21,train
912,2,14,07122018,451.994396,2018-07-12,2018,59,1356,1356,False,YC18:2167,12.5098039,YC18:2167,1,38,>15,15,15,True,1,False,False,True,28.88888889,25,32.77777778,17.5,747.3611111,21,train
912,2,14,07172018,450.266884,2018-07-17,2018,64,1495,1495,False,YC18:2167,17.4901961,YC18:2167,1,38,>15,15,15,True,1,False,False,True,24.44444444,18.88888889,30,14.44444444,826.1111111,21,train
912,2,14,07242018,464.140156,2018-07-24,2018,71,1662.5,1662.5,False,YC18:2167,11.6470588,YC18:2167,1,38,>15,15,15,True,1,False,False,True,23.33333333,17.22222222,29.44444444,13.33333333,919.7222222,21,train
912,2,14,07312018,450.207281,2018-07-31,2018,78,1812,1812,False,YC18:2167,24.2784314,YC18:2167,1,38,>15,15,15,True,1,False,False,True,23.05555556,16.66666667,29.44444444,13.05555556,1002.916667,21,train
912,2,14,08092018,440.381397,2018-08-09,2018,87,2031.5,2031.5,False,YC18:2167,34.3921569,YC18:2167,1,38,>15,15,15,True,1,False,False,True,26.66666667,21.66666667,31.66666667,15.83333333,1123.472222,21,train
912,2,14,08172018,506.248604,2018-08-17,2018,95,2248.5,2248.5,False,YC18:2167,41.0431373,YC18:2167,1,38,>15,15,15,True,1,False,False,True,25,20,30,15,1244.444444,21,train
1538,1,15,06132018,79.5408016,2018-06-13,2018,30,585,585,False,YC18:1068,22.773941,YC18:1068,1,96,>15,2,29,True,1,False,False,True,20.83333333,14.44444444,27.22222222,10.83333333,322.3611111,0,train
1538,1,15,06282018,469.528604,2018-06-28,2018,45,946,946,False,YC18:1068,8.78431373,YC18:1068,1,96,>15,2,29,True,1,False,False,True,23.88888889,20,27.77777778,13.88888889,521.3888889,0,train
1538,1,15,07092018,448.695749,2018-07-09,2018,56,1267,1267,False,YC18:1068,27.6862745,YC18:1068,1,96,>15,2,29,True,1,False,False,True,28.88888889,24.44444444,33.33333333,17.22222222,698.0555556,0,train
1538,1,15,07122018,538.425926,2018-07-12,2018,59,1356,1356,False,YC18:1068,14.9019608,YC18:1068,1,96,>15,2,29,True,1,False,False,True,28.88888889,25,32.77777778,17.5,747.3611111,0,train
1538,1,15,07172018,502.572551,2018-07-17,2018,64,1495,1495,False,YC18:1068,19.5219608,YC18:1068,1,96,>15,2,29,True,1,False,False,True,24.44444444,18.88888889,30,14.44444444,826.1111111,0,train
1538,1,15,07242018,567.282413,2018-07-24,2018,71,1662.5,1662.5,False,YC18:1068,14.2352941,YC18:1068,1,96,>15,2,29,True,1,False,False,True,23.33333333,17.22222222,29.44444444,13.33333333,919.7222222,0,train
1538,1,15,07312018,695.199743,2018-07-31,2018,78,1812,1812,False,YC18:1068,37.4901961,YC18:1068,1,96,>15,2,29,True,1,False,False,True,23.05555556,16.66666667,29.44444444,13.05555556,1002.916667,0,train
1538,1,15,08092018,518.846616,2018-08-09,2018,87,2031.5,2031.5,False,YC18:1068,40.52,YC18:1068,1,96,>15,2,29,True,1,False,False,True,26.66666667,21.66666667,31.66666667,15.83333333,1123.472222,0,train
1538,1,15,08172018,566.760452,2018-08-17,2018,95,2248.5,2248.5,False,YC18:1068,45.9490196,YC18:1068,1,96,>15,2,29,True,1,False,False,True,25,20,30,15,1244.444444,0,train
1538,2,16,06052018,33.5597663,2018-06-05,2018,22,430,430,False,YC18:2063,1.21568627,YC18:2063,1,96,22,13,7,True,1,False,False,True,22.77777778,15.55555556,30,12.77777778,235.2777778,0,train
1538,2,16,06132018,45.5536036,2018-06-13,2018,30,585,585,False,YC18:2063,13.042804,YC18:2063,1,96,22,13,7,True,1,False,False,True,20.83333333,14.44444444,27.22222222,10.83333333,322.3611111,0,train
1538,2,16,06282018,379.395881,2018-06-28,2018,45,946,946,False,YC18:2063,7.09803922,YC18:2063,1,96,22,13,7,True,1,False,False,True,23.88888889,20,27.77777778,13.88888889,521.3888889,0,train
1538,2,16,07092018,487.464079,2018-07-09,2018,56,1267,1267,False,YC18:2063,30.0784314,YC18:2063,1,96,22,13,7,True,1,False,False,True,28.88888889,24.44444444,33.33333333,17.22222222,698.0555556,0,train
1538,2,16,07122018,520.006092,2018-07-12,2018,59,1356,1356,False,YC18:2063,14.3921569,YC18:2063,1,96,22,13,7,True,1,False,False,True,28.88888889,25,32.77777778,17.5,747.3611111,0,train
1538,2,16,07172018,528.154979,2018-07-17,2018,64,1495,1495,False,YC18:2063,20.5156863,YC18:2063,1,96,22,13,7,True,1,False,False,True,24.44444444,18.88888889,30,14.44444444,826.1111111,0,train
1538,2,16,07242018,564.15689,2018-07-24,2018,71,1662.5,1662.5,False,YC18:2063,14.1568627,YC18:2063,1,96,22,13,7,True,1,False,False,True,23.33333333,17.22222222,29.44444444,13.33333333,919.7222222,0,train
1538,2,16,07312018,525.603002,2018-07-31,2018,78,1812,1812,False,YC18:2063,28.3443137,YC18:2063,1,96,22,13,7,True,1,False,False,True,23.05555556,16.66666667,29.44444444,13.05555556,1002.916667,0,train
1538,2,16,08092018,536.140499,2018-08-09,2018,87,2031.5,2031.5,False,YC18:2063,41.8705882,YC18:2063,1,96,22,13,7,True,1,False,False,True,26.66666667,21.66666667,31.66666667,15.83333333,1123.472222,0,train
1538,2,16,08172018,591.574663,2018-08-17,2018,95,2248.5,2248.5,False,YC18:2063,47.9607843,YC18:2063,1,96,22,13,7,True,1,False,False,True,25,20,30,15,1244.444444,0,train
2369,1,17,06282018,410.837529,2018-06-28,2018,45,946,946,False,YC18:1002,7.68627451,YC18:1002,1,198,17,1,2,True,1,False,False,True,23.88888889,20,27.77777778,13.88888889,521.3888889,1,train
2369,1,17,07092018,462.042223,2018-07-09,2018,56,1267,1267,False,YC18:1002,28.5098039,YC18:1002,1,198,17,1,2,True,1,False,False,True,28.88888889,24.44444444,33.33333333,17.22222222,698.0555556,1,train
2369,1,17,07122018,565.347222,2018-07-12,2018,59,1356,1356,False,YC18:1002,15.6470588,YC18:1002,1,198,17,1,2,True,1,False,False,True,28.88888889,25,32.77777778,17.5,747.3611111,1,train
2369,1,17,07172018,539.260216,2018-07-17,2018,64,1495,1495,False,YC18:1002,20.9470588,YC18:1002,1,198,17,1,2,True,1,False,False,True,24.44444444,18.88888889,30,14.44444444,826.1111111,1,train
2369,1,17,07242018,575.09622,2018-07-24,2018,71,1662.5,1662.5,False,YC18:1002,14.4313725,YC18:1002,1,198,17,1,2,True,1,False,False,True,23.33333333,17.22222222,29.44444444,13.33333333,919.7222222,1,train
2369,1,17,07312018,529.144448,2018-07-31,2018,78,1812,1812,False,YC18:1002,28.5352941,YC18:1002,1,198,17,1,2,True,1,False,False,True,23.05555556,16.66666667,29.44444444,13.05555556,1002.916667,1,train
2369,1,17,08092018,520.222494,2018-08-09,2018,87,2031.5,2031.5,False,YC18:1002,40.627451,YC18:1002,1,198,17,1,2,True,1,False,False,True,26.66666667,21.66666667,31.66666667,15.83333333,1123.472222,1,train
2369,1,17,08172018,577.208541,2018-08-17,2018,95,2248.5,2248.5,False,YC18:1002,46.7960784,YC18:1002,1,198,17,1,2,True,1,False,False,True,25,20,30,15,1244.444444,1,train
2369,2,18,06052018,48.7157897,2018-06-05,2018,22,430,430,False,YC18:2249,1.76470588,YC18:2249,1,198,11,17,1,True,1,False,False,True,22.77777778,15.55555556,30,12.77777778,235.2777778,1,train
2369,2,18,06282018,339.569794,2018-06-28,2018,45,946,946,False,YC18:2249,6.35294118,YC18:2249,1,198,11,17,1,True,1,False,False,True,23.88888889,20,27.77777778,13.88888889,521.3888889,1,train
2369,2,18,07092018,403.196983,2018-07-09,2018,56,1267,1267,False,YC18:2249,24.8788235,YC18:2249,1,198,11,17,1,True,1,False,False,True,28.88888889,24.44444444,33.33333333,17.22222222,698.0555556,1,train
