year,genotype,genotype_index,date,dap,split,height_relative,n_replicates,temperature_c,station_gdd_f
2018,A208,24,2018-06-05,22,train,62.24795355,2,22.77777778,430
2018,A208,24,2018-06-13,30,train,70.07541675,2,20.83333333,585
2018,A208,24,2018-06-28,45,train,386.2711215,2,23.88888889,946
2018,A208,24,2018-07-09,56,train,408.122468,2,28.88888889,1267
2018,A208,24,2018-07-12,59,train,492.1638035,2,28.88888889,1356
2018,A208,24,2018-07-17,64,train,470.7207115,2,24.44444444,1495
2018,A208,24,2018-07-24,71,train,510.2416195,2,23.33333333,1662.5
2018,A208,24,2018-07-31,78,train,468.3508305,2,23.05555556,1812
2018,A208,24,2018-08-09,87,train,477.246391,2,26.66666667,2031.5
2018,A208,24,2018-08-17,95,train,528.6200905,2,25,2248.5
2018,A239,25,2018-06-05,22,train,57.37637455,2,22.77777778,430
2018,A239,25,2018-06-13,30,train,104.349167,2,20.83333333,585
2018,A239,25,2018-06-28,45,train,372.0594965,2,23.88888889,946
2018,A239,25,2018-07-09,56,train,442.3021525,2,28.88888889,1267
2018,A239,25,2018-07-12,59,train,534.175195,2,28.88888889,1356
2018,A239,25,2018-07-17,64,train,542.717983,2,24.44444444,1495
2018,A239,25,2018-07-24,71,train,568.845174,2,23.33333333,1662.5
2018,A239,25,2018-07-31,78,train,574.885101,2,23.05555556,1812
2018,A239,25,2018-08-09,87,train,550.880973,2,26.66666667,2031.5
2018,A239,25,2018-08-17,95,train,633.899097,2,25,2248.5
2018,A258,26,2018-06-05,22,train,99.5967257,1,22.77777778,430
2018,A258,26,2018-06-13,30,train,101.208007,1,20.83333333,585
2018,A258,26,2018-06-28,45,train,396.1647595,2,23.88888889,946
2018,A258,26,2018-07-09,56,train,451.2983115,2,28.88888889,1267
2018,A258,26,2018-07-12,59,train,536.4847585,2,28.88888889,1356
2018,A258,26,2018-07-17,64,train,569.2241645,2,24.44444444,1495
2018,A258,26,2018-07-24,71,train,628.2301105,2,23.33333333,1662.5
2018,A258,26,2018-07-31,78,train,553.025578,2,23.05555556,1812
2018,A258,26,2018-08-09,87,train,540.062253,2,26.66666667,2031.5
2018,A258,26,2018-08-17,95,train,619.610368,2,25,2248.5
2018,A272,27,2018-06-05,22,train,37.8900587,1,22.77777778,430
2018,A272,27,2018-06-28,45,train,387.4659035,2,23.88888889,946
2018,A272,27,2018-07-09,56,train,449.3312955,2,28.88888889,1267
2018,A272,27,2018-07-12,59,train,522.6273755,2,28.88888889,1356
2018,A272,27,2018-07-17,64,train,542.137482,2,24.44444444,1495
2018,A272,27,2018-07-24,71,train,613.7042425,2,23.33333333,1662.5
2018,A272,27,2018-07-31,78,train,559.606705,2,23.05555556,1812
2018,A272,27,2018-08-09,87,train,553.354038,2,26.66666667,2031.5
2018,A272,27,2018-08-17,95,train,653.0684375,2,25,2248.5
2018,A305,28,2018-06-05,22,train,61.16538045,2,22.77777778,430
2018,A305,28,2018-06-13,30,train,86.5024237,2,20.83333333,585
2018,A305,28,2018-06-28,45,train,435.67643,2,23.88888889,946
2018,A305,28,2018-07-09,56,train,520.194718,2,28.88888889,1267
2018,A305,28,2018-07-12,59,train,594.818957,2,28.88888889,1356
2018,A305,28,2018-07-17,64,train,572.949467,2,24.44444444,1495
2018,A305,28,2018-07-24,71,train,574.3148395,2,23.33333333,1662.5
2018,A305,28,2018-07-31,78,train,559.9412155,2,23.05555556,1812
2018,A305,28,2018-08-09,87,train,546.8110855,2,26.66666667,2031.5
2018,A305,28,2018-08-17,95,train,650.229073,2,25,2248.5
2018,A321,29,2018-06-05,22,train,49.79836285,2,22.77777778,430
2018,A321,29,2018-06-13,30,train,80.76000625,2,20.83333333,585
2018,A321,29,2018-06-28,45,train,375.2036615,2,23.88888889,946
2018,A321,29,2018-07-09,56,train,448.3779765,2,28.88888889,1267
2018,A321,29,2018-07-12,59,train,500.59442,2,28.88888889,1356
2018,A321,29,2018-07-17,64,train,478.4338035,2,24.44444444,1495
2018,A321,29,2018-07-24,71,train,523.525092,2,23.33333333,1662.5
2018,A321,29,2018-07-31,78,train,490.9302785,2,23.05555556,1812
2018,A321,29,2018-08-09,87,train,513.935635,2,26.66666667,2031.5
2018,A321,29,2018-08-17,95,train,569.234617,2,25,2248.5
2018,A322,30,2018-06-05,22,train,71.44982495,2,22.77777778,430
2018,A322,30,2018-06-13,30,train,96.92688895,2,20.83333333,585
2018,A322,30,2018-06-28,45,train,421.318078,2,23.88888889,946
2018,A322,30,2018-07-09,56,train,456.452593,2,28.88888889,1267
2018,A322,30,2018-07-12,59,train,503.0031675,2,28.88888889,1356
2018,A322,30,2018-07-17,64,train,466.556248,2,24.44444444,1495
2018,A322,30,2018-07-24,71,train,496.176766,2,23.33333333,1662.5
2018,A322,30,2018-07-31,78,train,454.6504505,2,23.05555556,1812
2018,A322,30,2018-08-09,87,train,459.560835,2,26.66666667,2031.5
2018,A322,30,2018-08-17,95,train,593.7005585,2,25,2248.5
2018,A334,31,2018-06-05,22,train,64.41309975,2,22.77777778,430
2018,A334,31,2018-06-13,30,train,68.8689012,2,20.83333333,585
2018,A334,31,2018-06-28,45,train,369.963387,2,23.88888889,946
2018,A334,31,2018-07-09,56,train,452.1912545,2,28.88888889,1267
2018,A334,31,2018-07-12,59,train,541.9682015,2,28.88888889,1356
2018,A334,31,2018-07-17,64,train,524.0409935,2,24.44444444,1495
2018,A334,31,2018-07-24,71,train,550.092037,2,23.33333333,1662.5
2018,A334,31,2018-07-31,78,train,527.6900555,2,23.05555556,1812
2018,A334,31,2018-08-09,87,train,522.580066,2,26.66666667,2031.5
2018,A334,31,2018-08-17,95,train,553.0062195,2,25,2248.5
2018,A340,32,2018-06-05,22,train,60.70528685,2,22.77777778,430
2018,A340,32,2018-06-13,30,train,62.4349831,2,20.83333333,585
2018,A340,32,2018-06-28,45,train,395.1167045,2,23.88888889,946
2018,A340,32,2018-07-09,56,train,440.7514195,2,28.88888889,1267
2018,A340,32,2018-07-12,59,train,539.8428365,2,28.88888889,1356
2018,A340,32,2018-07-17,64,train,556.422855,2,24.44444444,1495
2018,A340,32,2018-07-24,71,train,610.883458,2,23.33333333,1662.5
2018,A340,32,2018-07-31,78,train,580.8699275,2,23.05555556,1812
2018,A340,32,2018-08-09,87,train,566.7362095,2,26.66666667,2031.5
2018,A340,32,2018-08-17,95,train,647.68477,2,25,2248.5
2018,A374,33,2018-06-05,22,train,69.82596505,2,22.77777778,430
2018,A374,33,2018-06-13,30,train,96.38423105,2,20.83333333,585
2018,A374,33,2018-06-28,45,train,435.9803665,2,23.88888889,946
2018,A374,33,2018-07-09,56,train,472.846512,2,28.88888889,1267
2018,A374,33,2018-07-12,59,train,567.7559695,2,28.88888889,1356
2018,A374,33,2018-07-17,64,train,547.185317,2,24.44444444,1495
2018,A374,33,2018-07-24,71,train,555.155384,2,23.33333333,1662.5
2018,A374,33,2018-07-31,78,train,522.8541995,2,23.05555556,1812
2018,A374,33,2018-08-09,87,train,515.7031865,2,26.66666667,2031.5
2018,A374,33,2018-08-17,95,train,578.2726975,2,25,2248.5
2018,A385,34,2018-06-05,22,train,62.24795355,2,22.77777778,430
2018,A385,34,2018-06-13,30,train,63.38845185,2,20.83333333,585
2018,A385,34,2018-06-28,45,train,399.3089245,2,23.88888889,946
