protocol,model,seed,split,genotype,condition,rmse
replicate,lstm,2,val,EMS57,cR,0.34902203529964526
replicate,lstm,2,val,phyAB,12L12D,0.39185212259857566
replicate,lstm,2,val,phyAB,cR,0.3345124316026086
replicate,lstm,2,test,Col-0,12L12D,0.39895303607540855
replicate,lstm,2,test,Col-0,cR,0.2311894747251675
replicate,lstm,2,test,hy5,12L12D,0.2537906306949353
replicate,lstm,2,test,hy5,cR,0.4198793773105552
replicate,lstm,2,test,MLB,12L12D,0.22017764595775502
replicate,lstm,2,test,MLB,cR,0.20833095492249926
replicate,lstm,2,test,EMS57,12L12D,0.7078980890774823
replicate,lstm,2,test,EMS57,cR,0.47929728560725987
replicate,lstm,2,test,phyAB,12L12D,0.27550595433911357
replicate,lstm,2,test,phyAB,cR,0.3035350113867692
replicate,lstm,3,train,Col-0,12L12D,0.29244598814674516
replicate,lstm,3,train,Col-0,cR,0.11872654678927594
replicate,lstm,3,train,hy5,12L12D,0.09376906810022252
replicate,lstm,3,train,hy5,cR,0.19402118975002008
replicate,lstm,3,train,MLB,12L12D,0.0419093734012517
replicate,lstm,3,train,MLB,cR,0.049150239805926636
replicate,lstm,3,train,EMS57,12L12D,0.11073315488456179
replicate,lstm,3,train,EMS57,cR,0.18662743951328611
replicate,lstm,3,train,phyAB,12L12D,0.1384059240088686
replicate,lstm,3,train,phyAB,cR,0.1397170656183537
replicate,lstm,3,val,Col-0,12L12D,0.18451065863996075
replicate,lstm,3,val,Col-0,cR,0.20103925440435552
replicate,lstm,3,val,hy5,12L12D,0.43639120581522933
replicate,lstm,3,val,hy5,cR,0.4994167337661923
replicate,lstm,3,val,MLB,12L12D,0.13711189538822827
replicate,lstm,3,val,MLB,cR,0.22796959926308702
replicate,lstm,3,val,EMS57,12L12D,0.4323421873078533
replicate,lstm,3,val,EMS57,cR,0.40935122654919265
replicate,lstm,3,val,phyAB,12L12D,0.3902873963772741
replicate,lstm,3,val,phyAB,cR,0.34885632880160933
replicate,lstm,3,test,Col-0,12L12D,0.452337317037151
replicate,lstm,3,test,Col-0,cR,0.2026812902573206
replicate,lstm,3,test,hy5,12L12D,0.2148701240792421
replicate,lstm,3,test,hy5,cR,0.4778926809382868
replicate,lstm,3,test,MLB,12L12D,0.21134652964949055
replicate,lstm,3,test,MLB,cR,0.22059205834399323
replicate,lstm,3,test,EMS57,12L12D,0.7212529727956749
replicate,lstm,3,test,EMS57,cR,0.5219373058548626
replicate,lstm,3,test,phyAB,12L12D,0.23228677171328266
replicate,lstm,3,test,phyAB,cR,0.23781683853220612
replicate,rf,1,train,Col-0,12L12D,0.31828076340715683
replicate,rf,1,train,Col-0,cR,0.10386822463164493
replicate,rf,1,train,hy5,12L12D,0.18313889487397592
replicate,rf,1,train,hy5,cR,0.27085777264004507
replicate,rf,1,train,MLB,12L12D,0.35172843947735594
replicate,rf,1,train,MLB,cR,0.18412963614620778
replicate,rf,1,train,EMS57,12L12D,0.3332676094233509
replicate,rf,1,train,EMS57,cR,0.35605769589604075
replicate,rf,1,train,phyAB,12L12D,0.32444350018407225
replicate,rf,1,train,phyAB,cR,0.4267477324626043
replicate,rf,1,val,Col-0,12L12D,0.34822719755803955
replicate,rf,1,val,Col-0,cR,0.23362790692089624
replicate,rf,1,val,hy5,12L12D,0.3973051816835336
replicate,rf,1,val,hy5,cR,0.5734622085781468
replicate,rf,1,val,MLB,12L12D,0.37767625459763854
replicate,rf,1,val,MLB,cR,0.2796502786327572
replicate,rf,1,val,EMS57,12L12D,0.39811765679079225
replicate,rf,1,val,EMS57,cR,0.28685227979072164
replicate,rf,1,val,phyAB,12L12D,0.5762560695525502
replicate,rf,1,val,phyAB,cR,0.46948102713744116
replicate,rf,1,test,Col-0,12L12D,0.3973401829592041
replicate,rf,1,test,Col-0,cR,0.20950568031108066
replicate,rf,1,test,hy5,12L12D,0.24006655613091335
replicate,rf,1,test,hy5,cR,0.3919303115110425
replicate,rf,1,test,MLB,12L12D,0.40850617619044544
replicate,rf,1,test,MLB,cR,0.33069351300473826
replicate,rf,1,test,EMS57,12L12D,0.7108478422018766
