observation_id,sheet,genotype,elapsed_hours,length,source_cell,source_row,source_column
12L12D:N3,12L12D,MLB,24,1.443,N3,3,14
12L12D:N4,12L12D,MLB,24,1.345,N4,4,14
12L12D:N5,12L12D,MLB,24,1.765,N5,5,14
12L12D:N6,12L12D,MLB,24,1.907,N6,6,14
12L12D:N7,12L12D,MLB,24,1.927,N7,7,14
12L12D:N8,12L12D,MLB,24,1.583,N8,8,14
12L12D:N9,12L12D,MLB,24,1.516,N9,9,14
12L12D:N10,12L12D,MLB,24,1.263,N10,10,14
12L12D:N11,12L12D,MLB,24,1.292,N11,11,14
12L12D:N12,12L12D,MLB,24,2.764,N12,12,14
12L12D:N13,12L12D,MLB,24,1.453,N13,13,14
12L12D:N14,12L12D,MLB,24,1.421,N14,14,14
12L12D:N15,12L12D,MLB,24,1.509,N15,15,14
12L12D:N16,12L12D,MLB,24,1.529,N16,16,14
12L12D:N17,12L12D,MLB,24,1.496,N17,17,14
12L12D:N18,12L12D,MLB,24,1.537,N18,18,14
12L12D:N19,12L12D,MLB,24,1.146,N19,19,14
12L12D:N20,12L12D,MLB,24,1.482,N20,20,14
12L12D:N21,12L12D,MLB,24,1.38,N21,21,14
12L12D:N22,12L12D,MLB,24,1.9,N22,22,14
12L12D:N23,12L12D,MLB,24,1.222,N23,23,14
12L12D:N24,12L12D,MLB,24,1.517,N24,24,14
12L12D:N25,12L12D,MLB,24,1.925,N25,25,14
12L12D:N26,12L12D,MLB,24,1.057,N26,26,14
12L12D:N27,12L12D,MLB,24,1.326,N27,27,14
12L12D:N28,12L12D,MLB,24,1.237,N28,28,14
12L12D:N29,12L12D,MLB,24,2.345,N29,29,14
12L12D:N30,12L12D,MLB,24,1.507,N30,30,14
12L12D:N31,12L12D,MLB,24,1.982,N31,31,14
12L12D:N32,12L12D,MLB,24,1.672,N32,32,14
12L12D:N33,12L12D,MLB,24,1.206,N33,33,14
12L12D:N34,12L12D,MLB,24,1.719,N34,34,14
12L12D:N35,12L12D,MLB,24,1.24,N35,35,14
12L12D:N36,12L12D,MLB,24,1.303,N36,36,14
12L12D:N37,12L12D,MLB,24,1.72,N37,37,14
12L12D:N38,12L12D,MLB,24,1.519,N38,38,14
12L12D:N39,12L12D,MLB,24,1.607,N39,39,14
12L12D:N40,12L12D,MLB,24,1.649,N40,40,14
12L12D:O3,12L12D,EMS57,24,5.67,O3,3,15
12L12D:O4,12L12D,EMS57,24,5.346,O4,4,15
12L12D:O5,12L12D,EMS57,24,6.881,O5,5,15
12L12D:O6,12L12D,EMS57,24,5.962,O6,6,15
12L12D:O7,12L12D,EMS57,24,5.867,O7,7,15
12L12D:O8,12L12D,EMS57,24,5.099,O8,8,15
12L12D:O9,12L12D,EMS57,24,6.208,O9,9,15
12L12D:O10,12L12D,EMS57,24,6.216,O10,10,15
12L12D:O11,12L12D,EMS57,24,5.236,O11,11,15
12L12D:O12,12L12D,EMS57,24,4.568,O12,12,15
12L12D:O13,12L12D,EMS57,24,4.585,O13,13,15
12L12D:O14,12L12D,EMS57,24,4.064,O14,14,15
12L12D:O15,12L12D,EMS57,24,5.134,O15,15,15
12L12D:O16,12L12D,EMS57,24,6.82,O16,16,15
12L12D:O17,12L12D,EMS57,24,5.191,O17,17,15
12L12D:O18,12L12D,EMS57,24,4.293,O18,18,15
12L12D:P3,12L12D,phyAB,24,5.848,P3,3,16
12L12D:P4,12L12D,phyAB,24,6.208,P4,4,16
12L12D:P5,12L12D,phyAB,24,6.509,P5,5,16
12L12D:P6,12L12D,phyAB,24,6.788,P6,6,16
12L12D:P7,12L12D,phyAB,24,5.814,P7,7,16
12L12D:P8,12L12D,phyAB,24,6.012,P8,8,16
12L12D:P9,12L12D,phyAB,24,7.866,P9,9,16
12L12D:P10,12L12D,phyAB,24,7.157,P10,10,16
12L12D:P11,12L12D,phyAB,24,7.141,P11,11,16
12L12D:P12,12L12D,phyAB,24,7.637,P12,12,16
12L12D:P13,12L12D,phyAB,24,6.512,P13,13,16
12L12D:P14,12L12D,phyAB,24,6.317,P14,14,16
12L12D:P15,12L12D,phyAB,24,6.283,P15,15,16
12L12D:P16,12L12D,phyAB,24,6.031,P16,16,16
12L12D:P17,12L12D,phyAB,24,7.702,P17,17,16
12L12D:P18,12L12D,phyAB,24,6.968,P18,18,16
12L12D:P19,12L12D,phyAB,24,6.404,P19,19,16
12L12D:P20,12L12D,phyAB,24,6.449,P20,20,16
12L12D:P21,12L12D,phyAB,24,6.655,P21,21,16
12L12D:P22,12L12D,phyAB,24,7.42,P22,22,16
12L12D:P23,12L12D,phyAB,24,6.563,P23,23,16
12L12D:P24,12L12D,phyAB,24,6.264,P24,24,16
12L12D:P25,12L12D,phyAB,24,5.933,P25,25,16
12L12D:P26,12L12D,phyAB,24,6.177,P26,26,16
12L12D:P27,12L12D,phyAB,24,6.849,P27,27,16
12L12D:P28,12L12D,phyAB,24,5.487,P28,28,16
12L12D:P29,12L12D,phyAB,24,6.456,P29,29,16
12L12D:P30,12L12D,phyAB,24,6.067,P30,30,16
12L12D:P31,12L12D,phyAB,24,5.536,P31,31,16
12L12D:P32,12L12D,phyAB,24,5.982,P32,32,16
12L12D:P33,12L12D,phyAB,24,6.547,P33,33,16
12L12D:P34,12L12D,phyAB,24,5.082,P34,34,16
12L12D:P35,12L12D,phyAB,24,5.719,P35,35,16
12L12D:P36,12L12D,phyAB,24,6.169,P36,36,16
12L12D:P37,12L12D,phyAB,24,6.418,P37,37,16
12L12D:P38,12L12D,phyAB,24,5.74,P38,38,16
12L12D:P39,12L12D,phyAB,24,6.125,P39,39,16
12L12D:Q4,12L12D,Col-0,36,2.377,Q4,4,17
12L12D:Q5,12L12D,Col-0,36,1.63,Q5,5,17
12L12D:Q6,12L12D,Col-0,36,2.006,Q6,6,17
12L12D:Q7,12L12D,Col-0,36,2.366,Q7,7,17
12L12D:Q8,12L12D,Col-0,36,1.658,Q8,8,17
12L12D:Q9,12L12D,Col-0,36,2.194,Q9,9,17
12L12D:Q11,12L12D,Col-0,36,2.123,Q11,11,17
12L12D:Q12,12L12D,Col-0,36,2.268,Q12,12,17
12L12D:Q13,12L12D,Col-0,36,2.355,Q13,13,17
12L12D:Q14,12L12D,Col-0,36,2.041,Q14,14,17
12L12D:Q15,12L12D,Col-0,36,2.795,Q15,15,17
12L12D:Q16,12L12D,Col-0,36,1.76,Q16,16,17
12L12D:Q17,12L12D,Col-0,36,2.853,Q17,17,17
12L12D:Q18,12L12D,Col-0,36,2.292,Q18,18,17
12L12D:Q19,12L12D,Col-0,36,2.191,Q19,19,17
12L12D:Q20,12L12D,Col-0,36,2.367,Q20,20,17
12L12D:Q21,12L12D,Col-0,36,1.99,Q21,21,17
12L12D:Q22,12L12D,Col-0,36,3.035,Q22,22,17
12L12D:Q23,12L12D,Col-0,36,1.656,Q23,23,17
12L12D:Q24,12L12D,Col-0,36,1.715,Q24,24,17
12L12D:Q25,12L12D,Col-0,36,1.965,Q25,25,17
12L12D:Q26,12L12D,Col-0,36,2.054,Q26,26,17
12L12D:Q27,12L12D,Col-0,36,2.47,Q27,27,17
12L12D:Q28,12L12D,Col-0,36,2.125,Q28,28,17
12L12D:R3,12L12D,hy5,36,5.487,R3,3,18
12L12D:R4,12L12D,hy5,36,9.375,R4,4,18
